group_1
"1/18. En algún lugar del guanonguán rum",e
"2/18. Solíamos comer ahí",p
"3/18. Are these some kind of servers?",a
"4/18. Las mesas más altas de Konfío",m
"5/18. Upside-down iron cups",u
"6/18. It's freezing in here",f
"7/18. Qué pantallón!",o
"8/18. Under the poofs",t
"9/18. This is were the boss lands his ship",c
"10/18. Uno de los extremos apunta directo a la máquina de café.",t
"11/18. Only 1 pair of them",o
"12/18. Son 3, uno de ellos no es nada fancy, y truena.",a
"13/18. Morado arriba, morado abajo, morado arriba",n
"14/18. Me meto aquí pa' que nadie me moleste",s
"15/18. ¡¿Hay un fregadero en Konfío?!",o
"16/18. Vista al árbol más alto de México",r
"17/18. ¡Vajilla brandeada y toda la onda!",o
"18/18. ¡Bienvenida Ilse!",t
group_2
"1/18. En algún lugar del guanonguán rum",e
"2/18. Under the poofs",t
"3/18. Me meto aquí pa' que nadie me moleste",s
"4/18. Morado arriba, morado abajo, morado arriba",n
"5/18. ¡Bienvenida Ilse!",t
"6/18. ¡Vajilla brandeada y toda la onda!",o
"7/18. ¡¿Hay un fregadero en Konfío?!",o
"8/18. Las mesas más altas de Konfío",m
"9/18. Upside-down iron cups",u
"10/18. This is were the boss lands his ship",c
"11/18. It's freezing in here",f
"12/18. Vista al árbol más alto de México",r
"13/18. Son 3, uno de ellos no es nada fancy, y truena.",a
"14/18. Qué pantallón!",o
"15/18. Uno de los extremos apunta directo a la máquina de café.",t
"16/18. Only 1 pair of them",o
"17/18. Are these some kind of servers?",a
"18/18. Solíamos comer ahí",p
group_3
"1/18. Son 3, uno de ellos no es nada fancy, y truena.",a
"2/18. Vista al árbol más alto de México",r
"3/18. Solíamos comer ahí",p
"4/18. ¡Vajilla brandeada y toda la onda!",o
"5/18. Qué pantallón!",o
"6/18. Under the poofs",t
"7/18. Only 1 pair of them",o
"8/18. ¡Bienvenida Ilse!",t
"9/18. Uno de los extremos apunta directo a la máquina de café.",t
"10/18. This is were the boss lands his ship",c
"11/18. ¡¿Hay un fregadero en Konfío?!",o
"12/18. Upside-down iron cups",u
"13/18. Are these some kind of servers?",a
"14/18. Las mesas más altas de Konfío",m
"15/18. Morado arriba, morado abajo, morado arriba",n
"16/18. It's freezing in here",f
"17/18. En algún lugar del guanonguán rum",e
"18/18. Me meto aquí pa' que nadie me moleste",s
group_4
"1/18. Upside-down iron cups",u
"2/18. Las mesas más altas de Konfío",m
"3/18. ¡¿Hay un fregadero en Konfío?!",o
"4/18. Under the poofs",t
"5/18. En algún lugar del guanonguán rum",e
"6/18. Son 3, uno de ellos no es nada fancy, y truena.",a
"7/18. ¡Bienvenida Ilse!",t
"8/18. It's freezing in here",f
"9/18. Morado arriba, morado abajo, morado arriba",n
"10/18. Solíamos comer ahí",p
"11/18. This is were the boss lands his ship",c
"12/18. Qué pantallón!",o
"13/18. Only 1 pair of them",o
"14/18. Me meto aquí pa' que nadie me moleste",s
"15/18. Vista al árbol más alto de México",r
"16/18. Uno de los extremos apunta directo a la máquina de café.",t
"17/18. ¡Vajilla brandeada y toda la onda!",o
"18/18. Are these some kind of servers?",a
group_5
"1/18. Son 3, uno de ellos no es nada fancy, y truena.",a
"2/18. Only 1 pair of them",o
"3/18. It's freezing in here",f
"4/18. Vista al árbol más alto de México",r
"5/18. Qué pantallón!",o
"6/18. Uno de los extremos apunta directo a la máquina de café.",t
"7/18. En algún lugar del guanonguán rum",e
"8/18. ¡Vajilla brandeada y toda la onda!",o
"9/18. Under the poofs",t
"10/18. Me meto aquí pa' que nadie me moleste",s
"11/18. Las mesas más altas de Konfío",m
"12/18. This is were the boss lands his ship",c
"13/18. ¡Bienvenida Ilse!",t
"14/18. Morado arriba, morado abajo, morado arriba",n
"15/18. Upside-down iron cups",u
"16/18. ¡¿Hay un fregadero en Konfío?!",o
"17/18. Solíamos comer ahí",p
"18/18. Are these some kind of servers?",a
group_6
"1/18. Solíamos comer ahí",p
"2/18. This is were the boss lands his ship",c
"3/18. Only 1 pair of them",o
"4/18. It's freezing in here",f
"5/18. Upside-down iron cups",u
"6/18. Under the poofs",t
"7/18. Uno de los extremos apunta directo a la máquina de café.",t
"8/18. Vista al árbol más alto de México",r
"9/18. Qué pantallón!",o
"10/18. Las mesas más altas de Konfío",m
"11/18. Morado arriba, morado abajo, morado arriba",n
"12/18. Are these some kind of servers?",a
"13/18. ¡Vajilla brandeada y toda la onda!",o
"14/18. ¡¿Hay un fregadero en Konfío?!",o
"15/18. En algún lugar del guanonguán rum",e
"16/18. Son 3, uno de ellos no es nada fancy, y truena.",a
"17/18. Me meto aquí pa' que nadie me moleste",s
"18/18. ¡Bienvenida Ilse!",t
group_7
"1/18. Under the poofs",t
"2/18. ¡Bienvenida Ilse!",t
"3/18. This is were the boss lands his ship",c
"4/18. ¡Vajilla brandeada y toda la onda!",o
"5/18. Uno de los extremos apunta directo a la máquina de café.",t
"6/18. Morado arriba, morado abajo, morado arriba",n
"7/18. Qué pantallón!",o
"8/18. En algún lugar del guanonguán rum",e
"9/18. It's freezing in here",f
"10/18. Only 1 pair of them",o
"11/18. Solíamos comer ahí",p
"12/18. Are these some kind of servers?",a
"13/18. ¡¿Hay un fregadero en Konfío?!",o
"14/18. Vista al árbol más alto de México",r
"15/18. Son 3, uno de ellos no es nada fancy, y truena.",a
"16/18. Me meto aquí pa' que nadie me moleste",s
"17/18. Upside-down iron cups",u
"18/18. Las mesas más altas de Konfío",m
group_8
"1/18. ¡Bienvenida Ilse!",t
"2/18. ¡Vajilla brandeada y toda la onda!",o
"3/18. Son 3, uno de ellos no es nada fancy, y truena.",a
"4/18. Me meto aquí pa' que nadie me moleste",s
"5/18. Only 1 pair of them",o
"6/18. Solíamos comer ahí",p
"7/18. Uno de los extremos apunta directo a la máquina de café.",t
"8/18. En algún lugar del guanonguán rum",e
"9/18. Morado arriba, morado abajo, morado arriba",n
"10/18. This is were the boss lands his ship",c
"11/18. Las mesas más altas de Konfío",m
"12/18. Upside-down iron cups",u
"13/18. It's freezing in here",f
"14/18. Under the poofs",t
"15/18. Are these some kind of servers?",a
"16/18. Vista al árbol más alto de México",r
"17/18. Qué pantallón!",o
"18/18. ¡¿Hay un fregadero en Konfío?!",o
group_9
"1/18. En algún lugar del guanonguán rum",e
"2/18. Only 1 pair of them",o
"3/18. Upside-down iron cups",u
"4/18. Solíamos comer ahí",p
"5/18. Under the poofs",t
"6/18. Uno de los extremos apunta directo a la máquina de café.",t
"7/18. ¡¿Hay un fregadero en Konfío?!",o
"8/18. ¡Bienvenida Ilse!",t
"9/18. Vista al árbol más alto de México",r
"10/18. Morado arriba, morado abajo, morado arriba",n
"11/18. Las mesas más altas de Konfío",m
"12/18. Are these some kind of servers?",a
"13/18. Qué pantallón!",o
"14/18. It's freezing in here",f
"15/18. ¡Vajilla brandeada y toda la onda!",o
"16/18. This is were the boss lands his ship",c
"17/18. Me meto aquí pa' que nadie me moleste",s
"18/18. Son 3, uno de ellos no es nada fancy, y truena.",a
group_10
"1/18. Morado arriba, morado abajo, morado arriba",n
"2/18. Qué pantallón!",o
"3/18. It's freezing in here",f
"4/18. Uno de los extremos apunta directo a la máquina de café.",t
"5/18. En algún lugar del guanonguán rum",e
"6/18. Under the poofs",t
"7/18. Me meto aquí pa' que nadie me moleste",s
"8/18. Solíamos comer ahí",p
"9/18. Las mesas más altas de Konfío",m
"10/18. This is were the boss lands his ship",c
"11/18. Upside-down iron cups",u
"12/18. ¡¿Hay un fregadero en Konfío?!",o
"13/18. Are these some kind of servers?",a
"14/18. Only 1 pair of them",o
"15/18. Vista al árbol más alto de México",r
"16/18. Son 3, uno de ellos no es nada fancy, y truena.",a
"17/18. ¡Bienvenida Ilse!",t
"18/18. ¡Vajilla brandeada y toda la onda!",o
group_11
"1/18. Uno de los extremos apunta directo a la máquina de café.",t
"2/18. Vista al árbol más alto de México",r
"3/18. ¡¿Hay un fregadero en Konfío?!",o
"4/18. Upside-down iron cups",u
"5/18. Solíamos comer ahí",p
"6/18. Only 1 pair of them",o
"7/18. It's freezing in here",f
"8/18. ¡Vajilla brandeada y toda la onda!",o
"9/18. ¡Bienvenida Ilse!",t
"10/18. Morado arriba, morado abajo, morado arriba",n
"11/18. Qué pantallón!",o
"12/18. Son 3, uno de ellos no es nada fancy, y truena.",a
"13/18. Me meto aquí pa' que nadie me moleste",s
"14/18. This is were the boss lands his ship",c
"15/18. Under the poofs",t
"16/18. Are these some kind of servers?",a
"17/18. En algún lugar del guanonguán rum",e
"18/18. Las mesas más altas de Konfío",m
